Ano-calendário,Ente Federativo,Centil,Quantidade de Contribuintes,Bens e Direitos - Imóveis [R$ milhões],Bens e Direitos - Financeiros [R$ milhões],Dívidas e Ônus [R$ milhões]
2006,BRASIL,78,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,79,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,80,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,81,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,82,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,83,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,84,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,85,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,86,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,87,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,88,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,89,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,90,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,91,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,92,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,93,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,94,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,95,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,96,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,97,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,98,241.562,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,99,241.563,1864.5075000000002,1576.3425,364.4525
2006,BRASIL,100,241.562,1864.5075000000002,1576.3425,364.4525
2006,AC,1,251.0,12.29,1.48,0.0
2006,AC,2,250.0,1.43,1.25,1.83
2006,AC,3,250.0,1.83,0.82,0.0
2006,AC,4,250.0,1.07,1.77,0.21
2006,AC,5,251.0,1.22,0.78,0.34
2006,AC,6,250.0,1.93,9.54,0.08
2006,AC,7,250.0,0.94,3.13,0.05
2006,AC,8,250.0,0.89,1.14,0.0
2006,AC,9,251.0,1.34,0.74,0.0
2006,AC,10,250.0,0.85,2.39,0.02
2006,AC,11,250.0,0.61,2.76,0.03
2006,AC,12,250.0,0.93,0.73,0.0
2006,AC,13,251.0,2.14,0.73,0.13
2006,AC,14,250.0,12.45,2.12,0.04
2006,AC,15,250.0,1.12,1.18,0.01
2006,AC,16,250.0,0.85,0.8,0.04
2006,AC,17,251.0,1.71,1.21,0.02
2006,AC,18,250.0,0.81,0.67,0.01
2006,AC,19,250.0,1.64,3.89,0.0
2006,AC,20,250.0,2.89,3.19,0.65
2006,AC,21,251.0,1.55,1.12,0.11
2006,AC,22,250.0,0.85,1.05,0.01
2006,AC,23,250.0,1.04,1.26,0.12
2006,AC,24,250.0,2.27,1.7,0.03
2006,AC,25,251.0,1.88,1.35,0.02
2006,AC,26,250.0,1.1,2.11,0.06
2006,AC,27,250.0,0.86,0.78,0.02
2006,AC,28,250.0,1.88,1.04,0.01
2006,AC,29,251.0,2.82,2.05,0.02
2006,AC,30,250.0,3.65,4.1,0.34
2006,AC,31,250.0,5.53,1.88,0.08
2006,AC,32,250.0,2.19,1.74,0.09
2006,AC,33,251.0,1.78,1.43,0.05
2006,AC,34,250.0,1.92,1.31,0.1
2006,AC,35,250.0,2.17,1.66,0.14
2006,AC,36,250.0,3.94,1.49,0.17
2006,AC,37,251.0,2.24,1.34,0.16
2006,AC,38,250.0,2.39,1.18,0.17
2006,AC,39,250.0,1.6,1.04,0.11
2006,AC,40,250.0,0.44,0.68,0.09
2006,AC,41,251.0,2.14,1.43,0.14
2006,AC,42,250.0,2.28,0.71,0.13
2006,AC,43,250.0,4.51,0.89,0.29
2006,AC,44,250.0,0.76,0.57,0.06
2006,AC,45,251.0,1.76,1.26,0.03
2006,AC,46,250.0,0.75,0.56,0.16
2006,AC,47,250.0,2.05,2.37,0.22
2006,AC,48,250.0,0.25,0.41,0.04
2006,AC,49,251.0,1.57,1.29,0.07
2006,AC,50,250.0,1.81,2.06,0.07
2006,AC,51,250.0,3.55,3.81,0.12
2006,AC,52,250.0,3.4,1.49,0.18
2006,AC,53,251.0,1.25,1.34,0.27
2006,AC,54,250.0,1.23,1.36,0.06
2006,AC,55,250.0,2.76,2.25,0.85
2006,AC,56,250.0,2.59,1.57,0.19
2006,AC,57,251.0,1.03,0.59,0.3
2006,AC,58,250.0,2.31,2.23,0.07
2006,AC,59,250.0,1.1,1.4,0.4
2006,AC,60,250.0,1.43,0.96,0.19
2006,AC,61,251.0,1.46,0.89,0.08
2006,AC,62,250.0,1.6,0.79,0.05
2006,AC,63,250.0,2.19,0.49,0.12
2006,AC,64,250.0,1.06,0.44,0.1
2006,AC,65,251.0,1.49,0.27,0.15
2006,AC,66,250.0,1.12,0.41,0.57
2006,AC,67,250.0,1.64,0.65,0.32
2006,AC,68,250.0,5.13,3.34,0.39
2006,AC,69,251.0,1.53,0.67,0.14
2006,AC,70,250.0,1.76,0.91,0.15
2006,AC,71,250.0,2.32,0.97,0.23
2006,AC,72,250.0,2.09,1.47,0.15
2006,AC,73,251.0,1.6,0.85,0.44
2006,AC,74,250.0,1.95,0.56,0.15
2006,AC,75,250.0,3.1,3.08,0.52
2006,AC,76,250.0,2.61,2.73,0.29
2006,AC,77,251.0,5.52,0.88,0.61
2006,AC,78,250.0,3.26,2.11,1.17
2006,AC,79,250.0,5.63,1.65,0.26
2006,AC,80,250.0,2.95,1.89,0.39
2006,AC,81,251.0,3.09,1.62,0.71
2006,AC,82,250.0,6.84,3.7,0.6
2006,AC,83,250.0,3.88,1.61,0.69
2006,AC,84,250.0,2.73,1.25,0.36
2006,AC,85,251.0,6.14,5.42,0.39
2006,AC,86,250.0,5.01,1.06,0.41
2006,AC,87,250.0,3.56,2.86,0.76
2006,AC,88,250.0,12.54,2.9,0.66
2006,AC,89,251.0,6.91,2.87,0.69
2006,AC,90,250.0,5.73,5.51,0.68
2006,AC,91,250.0,6.43,1.77,1.03
2006,AC,92,250.0,4.15,2.5,0.8
2006,AC,93,251.0,7.88,16.31,0.92
2006,AC,94,250.0,8.52,5.14,2.06
2006,AC,95,250.0,7.06,4.0,1.54
2006,AC,96,250.0,7.9,4.57,1.8
2006,AC,97,251.0,16.16,11.87,3.36
2006,AC,98,250.0,7.62,2.91,1.72
2006,AC,99,250.0,20.25,7.88,2.14
2006,AC,100,250.0,34.6,21.97,4.3
2006,AL,1,1.432,10.6,7.8,0.67
2006,AL,2,1.431,13.78,25.72,4.32
2006,AL,3,1.432,10.17,13.34,0.53
2006,AL,4,1.431,5.97,7.13,0.27
2006,AL,5,1.432,9.89,12.83,0.89
2006,AL,6,1.431,7.95,7.93,0.76
2006,AL,7,1.431,7.19,10.0,1.04
2006,AL,8,1.432,8.61,75.78,0.47
2006,AL,9,1.431,9.85,9.11,0.29
2006,AL,10,1.432,7.71,7.65,1.75
2006,AL,11,1.431,9.86,6.84,0.82
2006,AL,12,1.431,10.07,8.2,0.32
2006,AL,13,1.432,9.42,10.47,0.4
2006,AL,14,1.431,5.51,9.32,1.0
2006,AL,15,1.432,16.45,10.32,2.14
2006,AL,16,1.431,10.85,7.39,0.66
2006,AL,17,1.431,9.1,9.51,35.52
2006,AL,18,1.432,8.15,7.43,0.54
2006,AL,19,1.431,9.06,7.51,2.25
2006,AL,20,1.432,2.48,2.45,0.47
2006,AL,21,1.431,7.22,6.58,0.8
2006,AL,22,1.432,10.62,9.39,0.92
2006,AL,23,1.431,8.41,6.09,0.69
2006,AL,24,1.431,10.86,28.08,1.54
2006,AL,25,1.432,9.11,11.08,0.68
2006,AL,26,1.431,8.6,4.32,0.34
2006,AL,27,1.432,6.63,4.55,0.75
2006,AL,28,1.431,11.23,7.65,1.54
2006,AL,29,1.431,10.43,9.31,0.32
2006,AL,30,1.432,14.54,10.36,0.48
2006,AL,31,1.431,14.62,12.34,1.52
2006,AL,32,1.432,10.51,13.2,0.88
2006,AL,33,1.431,11.51,6.99,0.88
2006,AL,34,1.431,12.21,7.03,0.27
2006,AL,35,1.432,11.04,11.74,1.04
2006,AL,36,1.431,15.46,13.07,0.97
2006,AL,37,1.432,10.3,88.74,35.42
2006,AL,38,1.431,11.63,13.7,1.63
2006,AL,39,1.431,15.39,23.68,2.03
2006,AL,40,1.432,12.01,13.07,2.42
2006,AL,41,1.431,13.03,26.79,2.68
2006,AL,42,1.432,13.28,9.57,1.86
2006,AL,43,1.431,11.52,86.43,37.52
2006,AL,44,1.432,11.61,9.05,1.69
2006,AL,45,1.431,12.89,8.17,0.79
2006,AL,46,1.431,8.73,8.53,0.51
2006,AL,47,1.432,12.42,6.52,1.4
2006,AL,48,1.431,12.2,14.25,2.93
2006,AL,49,1.432,12.88,5.78,1.03
2006,AL,50,1.431,9.22,9.13,0.93
2006,AL,51,1.431,13.64,7.14,1.62
2006,AL,52,1.432,13.14,10.27,0.85
2006,AL,53,1.431,11.78,8.4,1.24
2006,AL,54,1.432,12.97,9.79,2.1
2006,AL,55,1.431,13.0,5.99,3.8
2006,AL,56,1.431,14.4,7.37,1.16
2006,AL,57,1.432,12.76,7.54,2.35
2006,AL,58,1.431,10.75,9.7,1.09
2006,AL,59,1.432,18.6,11.12,1.03
2006,AL,60,1.431,16.3,10.37,1.37
2006,AL,61,1.432,16.78,10.25,1.49
2006,AL,62,1.431,12.25,9.18,1.08
2006,AL,63,1.431,11.67,12.02,2.32
2006,AL,64,1.432,10.55,6.8,1.05
2006,AL,65,1.431,19.52,85.27,2.91
2006,AL,66,1.432,15.79,11.71,2.26
2006,AL,67,1.431,21.39,17.19,1.87
2006,AL,68,1.431,20.21,169.7,2.15
2006,AL,69,1.432,19.28,9.98,2.03
2006,AL,70,1.431,19.13,9.19,2.44
2006,AL,71,1.432,19.95,8.65,2.76
2006,AL,72,1.431,19.76,10.06,1.75
2006,AL,73,1.431,21.1,22.72,2.1
2006,AL,74,1.432,25.79,32.19,9.36
2006,AL,75,1.431,31.41,15.77,3.81
2006,AL,76,1.432,30.21,13.85,2.52
2006,AL,77,1.431,27.11,9.8,2.46
2006,AL,78,1.431,28.25,17.14,3.72
2006,AL,79,1.432,27.2,18.58,3.28
2006,AL,80,1.431,28.94,21.51,5.45
2006,AL,81,1.432,26.71,15.63,4.77
2006,AL,82,1.431,34.42,19.72,3.97
2006,AL,83,1.432,43.86,40.44,6.27
2006,AL,84,1.431,29.26,25.83,3.35
2006,AL,85,1.431,47.13,20.07,5.44
2006,AL,86,1.432,47.08,23.25,7.59
2006,AL,87,1.431,43.65,28.17,6.26
2006,AL,88,1.432,59.85,33.44,8.91
2006,AL,89,1.431,62.12,123.47,14.81
2006,AL,90,1.431,67.33,38.4,7.71
2006,AL,91,1.432,72.97,42.05,11.26
2006,AL,92,1.431,80.07,47.89,11.79
2006,AL,93,1.432,88.01,61.64,14.61
2006,AL,94,1.431,101.16,84.68,16.88
2006,AL,95,1.431,101.96,71.79,19.51
2006,AL,96,1.432,126.53,135.47,56.2
2006,AL,97,1.431,148.04,78.56,22.32
2006,AL,98,1.432,169.17,107.2,21.76
2006,AL,99,1.431,207.17,167.86,25.84
2006,AL,100,1.431,446.97,1401.49,75.32
2006,AM,1,2.247,13.65,8.84,0.25
2006,AM,2,2.246,8.36,7.38,1.68
2006,AM,3,2.247,20.59,48.58,6.36
2006,AM,4,2.246,15.1,7.53,0.92
2006,AM,5,2.247,13.28,32.56,0.81
2006,AM,6,2.246,8.43,7.52,0.93
2006,AM,7,2.247,8.51,35.14,0.66
2006,AM,8,2.246,12.9,8.63,0.62
2006,AM,9,2.246,9.77,16.21,1.19
2006,AM,10,2.247,21.12,49.87,2.02
2006,AM,11,2.246,14.36,36.05,1.45
2006,AM,12,2.247,17.34,115.6,4.67
2006,AM,13,2.246,25.49,7.63,0.69
2006,AM,14,2.247,14.64,17.34,0.99
2006,AM,15,2.246,26.49,48.16,4.44
2006,AM,16,2.247,10.96,10.35,1.26
2006,AM,17,2.246,10.79,16.36,0.9
2006,AM,18,2.246,9.09,15.01,0.71
2006,AM,19,2.247,11.93,10.71,1.18
2006,AM,20,2.246,14.48,16.37,1.28
2006,AM,21,2.247,11.09,11.92,0.95
2006,AM,22,2.246,10.83,9.71,1.07
2006,AM,23,2.247,9.19,7.88,0.84
2006,AM,24,2.246,11.26,17.07,1.33
2006,AM,25,2.246,12.88,9.27,1.41
2006,AM,26,2.247,15.33,45.45,0.99
2006,AM,27,2.246,10.67,5.59,1.15
2006,AM,28,2.247,8.69,7.37,1.2
2006,AM,29,2.246,11.55,17.92,1.11
2006,AM,30,2.247,9.91,6.96,1.29
2006,AM,31,2.246,27.19,12.63,1.14
2006,AM,32,2.247,18.85,17.93,1.0
2006,AM,33,2.246,12.63,8.58,0.86
2006,AM,34,2.246,9.41,14.44,0.77
2006,AM,35,2.247,7.81,4.96,0.9
2006,AM,36,2.246,9.8,8.0,1.0
2006,AM,37,2.247,10.23,10.81,0.83
2006,AM,38,2.246,10.24,7.11,0.87
2006,AM,39,2.247,10.54,5.17,0.93
2006,AM,40,2.246,11.65,6.81,1.02
2006,AM,41,2.247,8.19,9.08,1.65
2006,AM,42,2.246,8.43,8.7,1.5
2006,AM,43,2.246,11.44,5.76,1.19
2006,AM,44,2.247,8.01,8.27,1.88
2006,AM,45,2.246,18.23,5.51,0.72
2006,AM,46,2.247,10.84,9.75,0.89
2006,AM,47,2.246,15.97,30.25,3.39
2006,AM,48,2.247,19.35,33.38,1.99
2006,AM,49,2.246,11.97,10.33,1.55
2006,AM,50,2.246,11.38,8.11,1.19
2006,AM,51,2.247,13.97,21.28,1.87
